en,fr,de,vi
pulse-numbers modulation,modulation par nombre d'impulsions,Pulszahlmodulation,
pulse-shaping circuit,circuit de mise en forme d'impulsion,Impulsformerschaltung,
pulse-shaping circuit,conformateur d'impulsions,Impulsformer,
pulse-shaping circuit,conformateur d'impulsions,Impulsformer-Schaltung,
pulse-spacing modulation,modulation des intervalle entre impulsions,Pulsintervallmodulation,
pulse-width-modulated chopper,découpeur à modulation de largeur d'impulsion,pulsbreitenmodulierter Zerhacker,
pulse-width-modulation transistor,transistor de modulation de largeur d'impulsion,Impulsbreitenmodulations-Transistor,
pulsed beacon,radiobalise à impulsions,pulsmoduliertes Funkfeuer,
pulsed carbon dioxid laser,laser à impulsion à dioxyde de carbone,gepulster CO2-Laser,
pulsed emission,émission d'impulsions,Pulsausgabe,
pulsed fusion reactor,réacteur à fusion du type pulsé,gepulster Fusionsreaktor,
pulsed interference,brouillage par impulsions,Impulsinterferenz,
pulsed laser,laser à impulsions,Impulslaser,
pulsed light energy,énergie lumineuse sous forme d'impulsions,Pulslichtenergie,
pulsed magnetron,magnétron en régime pulsé,Puls-Magnetron,
pulsed memory display,afficheur à mémoire à impulsions,pulsbetriebene Speicher-Anzeige,
pulsed mode operation,fonctionnement en mode pulsé,Pulsbetrieb,
pulsed non-sinusoidal carrier,porteuse pulsée non sinusoïdale,nicht sinusartiges Pulssignal,
pulsed plasma gun,canon à plasma pulsé,gepulste Plasmakanone,
pulsed quantity,grandeur pulsée,Impulsfolge,
pulsed radar transmitter,émetteur radar à impulsion,Impulsradarsender,
pulsed transmission,émission par impulsions,Impulsübertragung,
pulser,générateur d'impulsions,Impulsgeber,
pulses per second,impulsions par seconde,Impulse pro Sekunde,
pulsing relay,relais batteur,Impulsrelais,
pulverised coal,charbon pulvérisé,pulverisierte Kohle,
pulverized fuel,combustible pulvérisé,Brennstoffstaub,
pulverized-fuel burner,brûleur à charbon pulvérisé,Staubbrenner,
pulverizing system,pulvérisateur de charbon,Mahlanlage,
pump using exhaust air,pompe sur air rejeté,Fortluft-Waermepumpe,
pump using outside air,pompe sur air extérieur,Umgebungsluft-Waermepumpe,
pump using outside air,pompe sur air extérieur,Umgebungsluft-Wärmepumpe,
pump-down time,temps de pompage,Evakuierzeit,
pumped storage,accumulation par pompage hydraulique,Pumpspeicherung,
pumped storage index,rendement du cycle d'un réservoir de centrale à accumulation par pompage,Wirkungsgrad eines Pumpspeicherzyklus,
pumped storage power station,aménagement hydraulique à accumulation par pompage,Pumpspeicherwerk,
pumped system,circulation forcée,Zwangszirkulation,
pumping lamp,lampe de pompage,Pumpenlampe,
pumping losses,solde du pompage,Pumpspeichersaldo,
pumping power station,usine de pompage,Pumpspeicherwerk,
pumping tariff,tarif pompage,Preisregelung für Sonderzwecke,
pumping time,temps de remplissage d'un réservoir à accumulation par pompage,Fuellzeit eines Pumpspeicherbeckens,
punch card controlled plant,installation controlée en mécanographie,lochkartengesteuerte Anlage,
punch-through,pénétration,Durchgriff,
punch-through,tension de perçage,Durchbruch,
punch-through breakdown,phénomène de traversée,Punch-through,
puncture,perforation,Durchschlag,
pupinization,pupinisation d'un câble,Pupinisieren,
purchase,acquisition à titre onéreux,Kauf,
pure coal substance,charbon pur,wasser-und aschefreie Kohle,
pure pumped storage station,centrale de pompage pur,reines Pumpspeicherkraftwerk,
pure signal,signal pur,sauberes Signal,
pure sinusoidal oscillation,oscillation sinusoïdale pure,reine Sinusoszillation,
pure vowel sound,son d'une voyelle pure,reiner Vokalton,
purge cycle,balayage,Spülzeit,
purging from air to gas,mise en gaz,Entlüften,
purging from gas to air,mise à l'air,Ausblasen mit Luft,
purging medium,fluide de balayage,Spülmedium,
purifier cover,couvercle de l'épurateur,Reinigerdeckel,
purifier grids,claies d'épurateur,Reinigerhorden,
purity of an emission,pureté d'une émission,Reinheit einer Sendung,
purple boundary,limite des pourpres,Purpurlinie,
purple plague,peste pourpre,Purpurpest,
push button switch,interrupteur à bouton,Druckknopfschalter,
push button switch,interrupteur-poussoir,Druckknopftaster,
push microswitch,micro-poussoir,Drucktastenmikroschalter,
push type circuit-breaker,disjoncteur à poussoir,Druckknopfschutzschalter,
push-button,bouton-poussoir,Drucktaste,
push-button dialling,numérotation par clavier,Tastwahl,
push-button integral light,voyant lumineux de bouton-poussoir,Druckschalterlicht,
push-on contact,contact à pousser,Steckhülse,
push-on switch,interrupteur à poussoir travail,Ruhe-Druckknopfschalter,
push-pull connector,connecteur pousser-tirer,push-pull-Steckverbinder,
push-pull coupling,accouplement pousser-tirer,push-pull-Kupplung,
push-pull operation,fonctionnement en push-pull,Gegentaktbetrieb,
push-pull operation,symétrique,Gegentakt,
push-pull running,marche en réversible,geschobener Zug,
push-pull stage,étage push-pull,Gegentaktstufe,
push-pull stage,étage symétrique,Gegentaktstufe,
push-pull transformer,"transformateur à ""push-pull""",Gegentaktwandler,
push-pull transistor pair,paire de transistors en push-pull,Gegentakt-Transistorpaar,
push-pull type circuit-breaker,disjoncteur à tirette,Handzugschutzschalter,
push-pull valve operation,amplification symétrique,Gegentaktbetrieb,
push-push operation,fonctionnement en push-push,Betrieb mit Gegentakteingang und Eintaktausgang,
push-through winding,enroulement à bobines en U,eingeschobene Wicklung,
push-to-test light,voyant à test,Prüfleuchtknopf,
push-to-test switch,test de contacteur,Prüftastschalter,
push-up,tirage vers le haut,Hochziehen,
pusher operation,marche en pousse,Nachschiebefahrt,
pushing and levelling machine,défourneuse-repaleuse,Stoß-und Planiermaschine,
pushing figure,coefficient de poussée,Stromverstimmungsmaß,
PWM inverter,onduleur à impulsion,PWM-Inverter,
pygmy,culot nain,Zwergsockel,
pyramid formation,formation de pyramides,Pyramidenbildung,
pyrethrum,pyrèthre,Pyrethrum,
pyridine bases,bases pyridiques,Pyridinbasen,
pyritic sulphur,soufre pyriteux,Pyritschwefel,
pyroelectric detector,détecteur pyroélectrique,pyroelektrischer Detektor,
pyrographite,pyrographite,Pyrographit,
pyroligneous liquor,jus pyroligneux,Rohholzessig,
pyrolytic layer,couche pyrolitique,pyrolytische Schicht,
pyrolytic oxide,oxyde pyrolitique,pyrolytisches Oxid,
pyrolytic-graphite semiconductor,semiconducteur graphite pyrolitique,Halbleiter aus pyrolytischem Grafit | Graphit,
pyrolytic-graphite susceptor,suscepteur de graphite pyrolitique,Suszeptor aus pyrolytischem Grafit | Graphit,
pyrolyzed-polymer semiconductor,semiconducteur polymère pyrolisé,pyrolysierter Polymerhalbleiter,
pyrometric monitoring,régulation pyrométrique,Temperaturüberwachung mit Pyrometer,
pyrophillite,pyrophillite,Pyrophyllit,
pyrradiometer,pyrradiomètre,Pyrradiometer,
Q band,bande Q,Q-band,
ql 2 specifications,cahier des charges NQ 2,QL 2-Lastenheft,
quad,quadruple,vierfach,
quad density,quadruple densité,Vierfachdichte,
quad in-line package,boîtier à quadruple rangée de connexions,Quad In-Line Package,
quad-input gate,porte quadruple à n entrées,Vierer-Verknüpfungsschaltung,
quadrant,quadrant,Quadrant,
quadraphony,tétraphonie,Quadrophonie,
quadratic distortion,distorsion quadratique,quadratische Verzerrung,
quadratic index profile,profil d'indice quadratique,quadratisches Indexprofil,
quadratic non-linear distortion,distorsion non linéaire du deuxième ordre,quadratische nicht-lineare Verzerrung,
quadratic pressure drop,perte de charge quadratique,quadratischer Druckverlust,
quadratic recombination,recombinaison quadratique,dem Quadrat der Dichte ionisierter Ladungsträger gleiche Rekombinationsrate,
quadrature carrier,porteuse en quadrature,Quadraturträger,
quadrature correction,correction en quadrature,Quadraturkorrektur,
quadrature distortion,distorsion en quadrature,Quadraturverzerrung,
quadrature error,erreur due à la distorsion de l'onde en quadrature,Blindkomponente,
quadrature hybrid,jonction à quadrature,90 1/4-Richtkoppler,
quadrature modulation,modulation en quadrature,Quadraturmodulation,
quadrature partial-response system,système en quadrature avec réponse partielle,Quadratursystem mit Teilantwort,
quadrature phase detector,phasemètre en quadrature,Quadraturphasendetektor,
quadrature product detection,détection du produit en quadrature,Quadraturproduktdetektion,
quadrature stripper,éliminateur de quadrature,Blindspannungsunterdrücker,
quadrature voltage control,réglage en quadrature,Querregelung,
quadrature-axis component of current,composante transversale du courant d'induit,Querstrom,
quadrature-axis component of magnetomotive force,composante transversale de la force magnétomotrice,Querdurchflutung,
quadrature-axis component of synchronous generated voltage,composante transversale de la force électromotrice synchrone,Queranteil der Polradspannung,
quadrature-axis component of voltage,composante transversale de la tension,Querspannung,
quadrature-axis subtransient open-circuit time constant,constante de temps subtransitoire transversale à circuit ouvert,Subtransient-Leerlauf-Zeitkonstante der Querachse,
quadrature-axis subtransient reactance,réactance subtransitoire transversale,Subtransient-Querreaktanz,
quadrature-axis subtransient short-circuit time constant,constante de temps subtransitoire transversale en court-circuit,Subtransient-Kurzschluß-Zeitkonstante der Querachse,
quadrature-axis subtransient voltage,force électromotrice subtransitoire transversale,subtransiente Querspannung,
quadrature-axis synchronous reactance,réactance synchrone transversale,Synchron-Querreaktanz,
quadrature-axis transient open-circuit time constant,constante de temps transitoire transversale à circuit ouvert,Transient-Leerlauf-Zeitkonstante der Querachse,
quadrature-axis transient reactance,réactance transitoire transversale,Transient-Querreaktanz,
quadrature-axis transient short-circuit time constant,constante de temps transitoire transversale en court-circuit,Transient-Kurzschluß-Zeitkonstante der Querachse,
quadrature-axis transient voltage,force électromotrice transitoire transversale,transiente Querspannung,
quadriphase modulation,modulation de phase à 4 états,quarternäre Modulation,
quadripod,quadripode,Quadripod,
quadripolar magnet,aimant quadrupole,Vier-Pol-Magnet,
quadripole,tétrapolaire,vierpolig,
quadrivalency,quadrivalence,Vierwertigkeit,
quadruple conductor,faisceau à quatre conducteurs,Viererbuendel,
quadruple diversity,diversité quadruple,vierfache Vielfalt,
qualitative characteristic,caractère qualitatif,qualitatives Merkmal,
quality control manual,manuel de la qualité,manuelle Qualitätskontrolle,
quality factor,facteur de surtension,Gütefaktor,
quality factor,facteur de surtension,Gütefaktor,
quality follow-up,suivi de la qualité,Qualitätsverfolgung,
quality monitoring system,système de télésurveillance,Qualitätsüberwachungssystem,
quality of lighting,qualité de l'éclairage,Beleuchtungsqualität,
quality of supply,qualités du service,Versorgungsqualität,
quality policy,politique de qualité,Qualitätspolitik,
quantity of electricity,charge,Ladung,
quantity of material,quantité de matière,Stoffmenge,
quantity of milk delivered,livraison de lait,Milchlieferung,
quantity withdrawn,quantité retranchée,abgezogene Menge,
quantization of energy,quantisation de l'énergie,Energiequantisierung,
quantization step,échelon de quantification,Quantisierungspegel,
quantized form,forme quantifiée,quantisierte Form,
quantized pulse modulation,modulation en delta,Deltamodulation,
