en,fr,de,vi
single side loading fork truck,chariot élévateur à prise laterale simple,Quergabelstapler mit einseitiger Lastaufnahme,
single split air-conditioning system,système de climatisation à deux blocs,Single-Split-Klimagerät,
single split mould,moule de presse en deux parties,zweiteilige Pressform,
single stage compressor,compresseur à un seul étage,einstufiger Verdichter,
single stage regulator,détendeur à simple détente,einstufiges Druckreduzierventil,
single stage turbine,turbine à un étage,einstufige Turbine,
single start worm,vis à un filet,eingaengige Schnecke,
single storey cold store,entrepôt frigorifique à un seul niveau,eingeschossiges Kuehlhaus,
single stroke,course,Einzelhub,
single suction pump,pompe à simple flux,einstroemige Pumpe,
single use valve,valve un-coup,Ventil für den einmaligen Gebrauch,
single vane rotary compressor,compresseur rotatif à palette unique,Sperrschieberverdichter,
single wheel steering,direction indépendante,Einzelradlenkung,
single wind power plant,installation éolienne isolée,Einzelwindkraftwerk,
single wire armoured,câble à simple armature,Kabel mit einlagiger Drahtpanzerung,
single wrap drive,traction par simple enroulement,Antrieb mit einfacher Umschlingung,
single wrap gearless machine,machine sans réducteur à simple enroulement,getriebelose Machine mit einfacher Umschlingung,
single-acting cylindrical cam,came cloche,einseitiger Kurvenzylinder,
single-acting hydraulic lift,relevage hydraulique à simple effet,einfachwirkende hydraulischer Kraftheber,
single-acting plunger pump,pompe à piston plongeur à simple effet,einfachwirkende Tauchkolbenpumpe,
single-acting ram,vérin à simple effet,einfachwirkender Zylinder,
single-action,machine à simple effet,einfach wirkende Maschine,
single-action hydraulic actuator,actionneur hydraulique rotatif,hydraulischer Rotationsantrieb,
single-action piston,piston isodrome,Kolben mit Druckausgleich,
single-action pump,pompe à simple effet,einfach wirkende Pumpe,
single-angle milling cutter,fraise d'angle conique,Winkelfräser,
single-angle milling cutter,fraise d'angle en bout,Winkelstirnfräser,
single-blade propeller,hélice monopale,Einblattpropeller,
single-blade propeller with counterweight,éolienne monopale à contrepoids,Einflügler mit Ausgleichgewicht,
single-centrifugal pump,pompe centrifuge à une entrée,Einfach-Kreiselpumpe,
single-contact system,ligne de contact simple,einfacher Fahrdraht,
single-convolution bellow,soufflet à circonvolution unique,Einfachsicke,
single-crystal blade,lame monocristalline,Einkristall-Schaufel,
single-cylinder piston pump,pompe à piston monocylindrique,Einzylinder-Kolben/pumpe,
single-edged band-saw,lame de scie à ruban à denture unilatérale,Blockbandsäge mit Vorlaufschnitt,
single-flank pitch error,défaut d'engrènement sur un flanc,Einflankenwälzfehler,
single-flank tooth-to-tooth error range,saut d'engrènement sur un flanc,Wälzsprung,
single-flow jet engine,réacteur à simple flux,Einstromstrahltriebwerk,
single-head wrench,clé plate simple,Gabelschlüssel,
single-hole nozzle,injecteur à trou unique,Einlochdüse,
single-nozzle sprinkler,asperseur à une buse,Eindüsenregner,
single-phase commutator motor,moteur monophasé à collecteur,Einphasen-kommutatormotor,
single-phase machine,machine monophasée,Einphasenmaschine,
single-phase series wound commutator motor,moteur monophasé en série à collecteur,einphasiger Reihenschlusskommutatormotor,
single-phasing,marche en monophasé,einphasiger Betrieb,
single-piece rim,jante fixe,feste Felge,
single-purpose milling machine,fraiseuse d'opération,Produktionsfräsmaschine,
single-roller bearing,appui à un rouleau,Einrollenlager,
single-shaft turbine,turbine fixe à roues solidaires,Einwellenturbine,
single-shelf subrack,casier à rangée unique,einzeiliger Gestelleinsatz,
single-sided linear motor,moteur à induction linéaire monoinducteur,einseitig wirkender Linearmotor,
single-speed truck,chariot à entraînement à action directe,Flurförderzeug mit einstufiger Fahrsteuerung,
single-stage compression,compression à un étage,einstufige Verdichtung,
single-stage flash cycle,cycle à vaporisation simple,einfaches Flash-System,
single-stage-pump,pompe à une roue,einstufige Pumpe,
single-start thread,pas simple,eingängiges Gewinde,
single-stroke deep-well pump,pompe à un piston plongeur pour puits profonds,Einzelhub-Tiefbrunnen-Pumpe,
single-suction impeller,roue à une ouïe,einfach-saugendes Laufrad,
single-suction pump,pompe à une ouïe,einfache Saugpumpe,
single-threaded worm,vis sans fin à une seule entrée,eingängige Schnecke,
single-thrust bearing,butée à simple effet,einseitig wirkendes Achsiallager,
single-tooth cutter,fraise à une dent,Schlagzahnfräser,
sink,excavation naturelle,Senke,
sink flow,réseau puits,Senkstroemung,
sinker,marteau perforateur à main,Presslufthammer,
sinking of tubing,évidement de tubing,Rohrziehen,
sinking pump,pompe de fonçage,Senk/pumpe,
sinking velocity,vitesse de sédimentation,Sinkgeschwindigkeit,
sintered bearing,palier en métal fritté,Sinterlager,
siphon flow rate,débit de siphonnage,Heberstrom,
siphon pipeline,conduite en siphon,Heberleitung,
siphon spillway,évacuateur à siphon,Heber-Ueberfall,
siphon tubes,siphons,Heberrohre,
siphon-pit setting,disposition en chambre à siphon,Heber-Anordnung,
site engineer,ingénieur de chantier,Ingenieur der Baustellenleitung,
site hoist,monte-matériaux,Bauaufzug,
site rivet,rivet posé sur chantier,Baustellenniet,
six-tumbler cylinder lock,serrures de sûreté à six gorges,Sicherheits-Zylinder-Schloss mit sechs Stiften,
six-wing bit,trepan a six ailettes,sechsfluegelmeissel,
size of a length,dimension,Dimension,
size on a drawing,cote,Maßzahl,
size repair,cote de réparation,Maßreparatur,
sized spare part,rechange à côtes spéciales,ersatzteil mit über oder untermass,
sizing,calibrage,Genauschmieden,
sizing,grattage,Schaben,
sizing tooth,dent de calibrage,Schabezahn,
sizing-machine,trieuse par calibre,Kalibriermaschine,
skeleton frame,carcasse ajourée,Gehäusegestell,
skeleton line,squelette,Skelettlinie,
skeleton of a blade,surface médiane d'aube,Skelettflaeche,
skeleton roller,rouleau squelette,Ringelwalze,
sketch plate,plaquette d'ébauche,Skizzenschild,
skew,en biais,schief,
skew of the rotor axis,inclinaison de l'axe du rotor,Schrägstellung der Achse,
skew T-log p diagram,diagramme de Herlofson,Herlofson-Diagramm,
skew weir,déversoir à crête oblique,schraeges Wehr,
skew-angle roller bearing,roulement à contacts obliques,Schrägkugellager,
skew-axis gear,roue hyperbolique,hyperbolisches Rad,
skew-bevel gear,engrenage conique à denture inclinée,Kegelrad mit schraeger Verzahnung,
ski-jump dissipator,auge en saut de ski,Schanzensprung-Becken,
ski-mounted motor compressor,motocompresseur sur patins,Motorenkompressor auf Gleitschienen,
ski-type landing gear,atterrisseur à patins,Kufenlandegestell,
ski-type landing gear,atterrisseur à skis,Schneekufenlandegestell,
ski-type undercarriage,train à skis,Schneekufenlandegestell,
skid boot,patin de béquille,Schleifsporn,
skid chain,chaîne de traînage,Hemmkette,
skid for depth control,patin régulateur de profondeur,Tiefschuh,
skid limiter,limiteur de patinage,Antiblockierbegrenzer,
skid mounted pump,pompe sur patins,Pumpe auf Schlitten,
skimming panel,panneau laissant passer l'eau de surface,Filterwand,
skin,peau,Gusshaut,
skin installation tool,outillage de revêtement,beplankungsvorrichtung,
skin-milling machine,fraiseuse à portique,Portal-Fräsmaschine,
skinning,formation de peaux,Hautbildung,
skinplate,tôle plastifiée,Verbund-PVC-Metall,
skip feed,avance par impulsions,Sprungvorschub,
skip feed,avance saccadée,Sprungvorschub,
skip feed milling,fraisage interrompu,Sprungtisch-Fräsen,
skip hoist,installation de manutention par skips,Foerdervorrichtung,
skip-arresting device,parachute,Fangvorrichtung,
skirt guard,protège-vêtement,Sockelleiste,
skirt mounted pump,pompe sur lanterne-support,Pumpe in Fusslaternenausfuehrung,
skirting board,plinthe,Scheuerleiste,
skiving,écroutage,Wälzschälen,
skiving machine,machine à refendre,Abschaerfmaschine,
skiving machine,machine à tailler au couteau-fraise,Wälzschälmaschine,
sky cooling,refroidissement par rayonnement terrestre,naechtliche Abkuelung durch Strahlung,
Skydrol hydraulic fluid,fluide hydraulique Skydrol,Hydraulikflüssigkeit Skydrol,
skyhook,chariot aérien automobile,Hängebahn-Ferngreifer,
skyline cableway,câblage,Skidder,
skyline crane,câble grue transversal,Seilkran,
slab insulant,isolant en plaque,Isolierplatte,
slab milling,fraisage à surfacer,Walzfräsen,
slab milling,fraisage plan,Planfräsen,
slab milling cutter,fraise à une taille à surfacer,Walzenfräser,
slab on ground floor,plancher bas à niveau de sol,ebenerdiger Kuehlhaus-Boden,
slab press,presse à plaque,Plattenpresse,
slack barrel,fût allégé demi-étanche,Halbdichtfass,
slack braking,freinage mou,weiche Bremsung,
slack chain switch,interrupteur de mou de chaîne,Schlaffketten-Schalter,
slack in the brake,rendement de la timonerie de frein,Bremsgestängenachgiebigkeit,
slack of couplings,jeu des attelages,Kupplungsspiel,
slack of track,mou des chenilles,Durchhang,
slack rope,câble non-tendu,Schlappseil,
slack rope switch,interrupteur de mou de câble,Schlaffseil-Schalter,
slack wire-rope or chain,mou de câble ou de chaîne,Schlaffseil oder Schlaffkette,
slackening,desserrage,Lockerung,
slackening of springs,avachissement des ressorts,Erschlaffen der Federn,
slackening of the rope,prise de mou du câble,Schlaffwerden des Seiles,
slacker,slacker,Slacker,
slackness in cables,mou dans les commandes,Kabellose,
slam acceleration,accélération brutale,plötzliche Beschleunigung,
slam acceleration,accélération brutale,plötzliche Beschleunigung,
slanted windshield,pare-brise incliné,geneigte Windschutzscheibe,
slar conveyor,élévateur à tablier,Plattenbandförderer,
slasher,tronçonneuse circulaire multiple,Mehrfach-Abkürz-Kreissägemaschine,
slasher blade,lame en T inversé,T-förmiges Messer,
slat bevel gearbox,renvoi d'angle de becs,Vorflügelwinkeltrieb,
slat control cam box,boîtier à cames de becs,Vorflügelnockengehäuse,
slat conveyor,transporteur à barrettes,Plattenbandförderer,
slat conveyor,transporteur à écailles,Gliederbandförderer,
slat stepback gearbox,boîtier réducteur de becs,Vorflügel-Untersetzungsgetriebe,
slatted box pallet two-way,palette-caisse en bois,Holz-Lattenbehaelter,
slatted box truck,chariot à bras à caisse,Lattenkastenwagen,
slatted-box truck,chariot-caisse,Kastenwagen,
slave bolt,boulon d'assemblage a blanc,Heftbolzen,
slave output,sortie asservie,nachgeführter Abgriff,
slaving control fork,fourchette de commande d'asservissement,Steuergabel der Nachlaufsteuerung,
slaving feedback,retour d'asservissement,Nachlaufsteuerung-Rückführung,
slaving torque motor,moteur couplé d'asservissement,Führmotor,
sledge,marteau à devant,Schmiedehammer,
sledge hammer,masse,Faeustel,
sleeper adzing machine,machine à saboter les traverses,Schwellendechselmaschine,
sleeper clip,plaque de serrage,Klemmplättchen,
sleeper drilling machine,perceuse de traverses,Schwellenbohrmaschine,
sleeve,chemise,Verkleidung,
sleeve,chemise de cylindre d'injection,Pressbuechse,
sleeve,coquille de coussinet,Lagerschale,
sleeve,coussinet de palier,Ring,
sleeve,manchon de raccordement en ligne,Verbindungsmuffe,
sleeve,manchon fourrure,Schutzhülse,
sleeve assy,fourreau équipé,vollständige Hülle,
sleeve bearing,coussinet de palier,Paar Lagerschalen,
sleeve bearing,coussinet en deux pièces,Paar Lagerschalen,
sleeve bearing,palier à coussinet-douille,ungeteiltes Ringlager,
sleeve bearing,palier lisse,Gleitlager,
sleeve bearing motor,moteur à palier lisse,Gleitlagermotor,
sleeve counterbore,alésoir creux d'ébauche,Aufsteck-Senker,
sleeve coupling,accouplement à douille,Hülsenkupplung,
sleeve coupling,accouplement à manchon,Muffenkupplung,
sleeve coupling,manchon d'accouplement fixe à frettes,Muffenkupplung,
sleeve ejector,éjecteur tubulaire,Auswerferhuelse,
sleeve extractor,démonte-chemises,Zylinderlaufbuchsenheber,
sleeve joint,assemblage à manchon,Rohrstoss mit Einsteckmuffe,
sleeve joint,assemblage emboité,Einsteckstoss,
sleeve nut,écrou à douille,Hülsenmutter,
sleeve nut,manchon-écrou,muffenmutter,
sleeve puller,tire-buselure,Buechsenauszieher,
sleeve type chain,chaîne à douilles,Huelsenkette,
sleeve valve,clapet à boisseau,Kolbenschieber,
sleeve valve,clapet à boisseau,Kolbenschieber,
sleeve-coupling,embrayage à friction,Klemmkupplung,
slenderness ratio,rapport d'élancement,Schlankheitsgrad,
slewing crane,grue à tour pivotante,Turmdrehkran,
slewing crane,grue pivotante,Drehkran,
slewing gear,dispositif de rotation,Drehwerk,
slewing jib crane,grue à flèche orientable,Turmauslegerkran,
slewing stationary hoist,mât de charge à poste fixe,ortfester Schwenkkran,
slic bar,ringard,Stocher,
sliced sheeting,feuille tranchée,geschälte Folie,
slide,coulisse,Gleitschiene,
slide,coulisseau,Gleitstück,
slide,coulisseau,Schlitten,
slide,coulisseau,Supportschlitten,
slide and screw cutting lathe,tour à charioter et à fileter,Zug- und Leitspindeldrehbank,
slide bars for a crosshead,glissières de crosse,Kreuzkopfgeradführung,
slide calipers,pièce à coulisse,gleitstück,
slide feed,appareil d'alimentation par pinces,Zangenvorschubapparat,
slide feed,introducteur,Schieber,
slide fit,ajustement glissant,Gleitsitz,
slide gate of a cut-off valve,guillotine d'un robinet d'isolement,Schieber eines Absperrventils,
slide nut,écrou-coulisseau,Gleitmutter,
slide on a guide,coulisser,in einer Führung gleiten,
slide rest,chariot transversal,Querschlitten,
slide rest with cross and top slides,chariot porte-outil à mouvements croisés,Kreuzsupport,
slide rod,tige coulissante,Federbeinkolben,
slide shoe,sabot,Gleitstueck,
slide shut-off valve,robinet à tiroir,Schieber-Absperrventil,
slide stroke,course utile,nutzbarer Stoesselhub,
slide tool,outil à charioter,Hobelwerkzeug,
slide valve,robinet à piston,Kolbenschieberventil,
slide valve,tiroir,Schieber,
slide valve,tiroir,Sperrschieber,
slide valve,tiroir plat,Flachschieber,
slide valve,vanne à glissement,Steuerschieber,
slide valve for steam engines,tiroir de distribution de machine à vapeur,Steuerschieber fuer Dampfkraftmaschinen,
slide valve regulation,distribution par tiroir,Schiebersteuerung,
slide way of a slotted link,coulisse d'un bras à coulisse,Steinführung einer Kurbelschleife,
slide-in unit,guide pour récipients,Einschub,
slide-key drive,boîte à clavette coulissante,Ziehkeilrädergetriebe,
slide-rails,rail-tendeur,Spannschienen,
slide-valve,tiroir,Schieber,
slide-valve chest,boîte de tiroir,Schieberkasten,
slide-valve liner,chemise de tiroir,Schieberbüchse,
slide-valve motion,distribution par tiroirs plans,Flachschiebersteuerung,
slider,index mobile,Schleppzeiger,
slider belt,bande coulissante,Gleitband,
slideway,glissière,Führungsbahn,
sliding,coulissant,gleitend,
